MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice,LogSalePrice,BsmtFin,House_age,Remod_age,FlrSF,Bath,AbvGrd,OpenSF,bedroom/totalRoomAboveGrade
60,RL,65.0,8450,Pave,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,150,856,GasA,Ex,Y,SBrkr,1710,Gd,8,Typ,0,NA,Attchd,RFn,2,548,TA,TA,Y,0,61,WD,Normal,208500,12.247694320220994,706,5,5,1710,3,4,61,0.375
20,RL,80.0,9600,Pave,Reg,Lvl,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,284,1262,GasA,Ex,Y,SBrkr,1262,TA,6,Typ,1,TA,Attchd,RFn,2,460,TA,TA,Y,298,0,WD,Normal,181500,12.109010932687042,978,31,31,1262,2,4,298,0.5
60,RL,68.0,11250,Pave,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,434,920,GasA,Ex,Y,SBrkr,1786,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,0,42,WD,Normal,223500,12.31716669303576,486,7,6,1786,3,4,42,0.5
70,RL,60.0,9550,Pave,IR1,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,NA,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,540,756,GasA,Gd,Y,SBrkr,1717,Gd,7,Typ,1,Gd,Detchd,Unf,3,642,TA,TA,Y,0,35,WD,Abnorml,140000,11.84939770159144,216,91,36,1717,1,4,307,0.42857142857142855
60,RL,84.0,14260,Pave,IR1,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,490,1145,GasA,Ex,Y,SBrkr,2198,Gd,9,Typ,1,TA,Attchd,RFn,3,836,TA,TA,Y,192,84,WD,Normal,250000,12.429216196844383,655,8,8,2198,3,5,276,0.4444444444444444
50,RL,85.0,14115,Pave,IR1,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,64,796,GasA,Ex,Y,SBrkr,1362,TA,5,Typ,0,NA,Attchd,Unf,2,480,TA,TA,Y,40,30,WD,Normal,143000,11.870599909242044,732,16,14,1362,2,2,390,0.2
20,RL,75.0,10084,Pave,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,317,1686,GasA,Ex,Y,SBrkr,1694,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,TA,TA,Y,255,57,WD,Normal,307000,12.634603026569334,1369,3,2,1694,2,4,312,0.42857142857142855
60,RL,0.0,10382,Pave,IR1,Lvl,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,216,1107,GasA,Ex,Y,SBrkr,2090,TA,7,Typ,2,TA,Attchd,RFn,2,484,TA,TA,Y,235,204,WD,Normal,200000,12.206072645530174,891,36,36,2090,3,4,667,0.42857142857142855
50,RM,51.0,6120,Pave,Reg,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952,952,GasA,Gd,Y,FuseF,1774,TA,8,Min1,2,TA,Detchd,Unf,2,468,Fa,TA,Y,90,0,WD,Abnorml,129900,11.77452020265869,0,77,58,1774,2,4,295,0.25
190,RL,50.0,7420,Pave,Reg,Lvl,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,140,991,GasA,Ex,Y,SBrkr,1077,TA,5,Typ,2,TA,Attchd,RFn,1,205,Gd,TA,Y,0,4,WD,Normal,118000,11.678439903447801,851,69,58,1077,1,4,4,0.4
20,RL,70.0,11200,Pave,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,TA,5,Typ,0,NA,Detchd,Unf,1,384,TA,TA,Y,0,0,WD,Normal,129500,11.771436160121729,906,43,43,1040,1,4,0,0.6
60,RL,85.0,11924,Pave,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,177,1175,GasA,Ex,Y,SBrkr,2324,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,147,21,New,Partial,345000,12.751299696013497,998,1,0,2324,3,5,168,0.36363636363636365
20,RL,0.0,12968,Pave,IR2,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,912,GasA,TA,Y,SBrkr,912,TA,4,Typ,0,NA,Detchd,Unf,1,352,TA,TA,Y,140,0,WD,Normal,144000,11.877568578558138,737,46,46,912,1,3,316,0.5
20,RL,91.0,10652,Pave,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,1494,GasA,Ex,Y,SBrkr,1494,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,160,33,New,Partial,279500,12.540757571577291,0,1,0,1494,2,4,193,0.42857142857142855
20,RL,0.0,10920,Pave,IR1,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,520,1253,GasA,TA,Y,SBrkr,1253,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,213,WD,Normal,157000,11.964001084330445,733,48,48,1253,2,3,389,0.4
45,RM,51.0,6120,Pave,Reg,Lvl,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,832,GasA,Ex,Y,FuseA,854,TA,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,48,112,WD,Normal,132000,11.790557201568507,0,78,6,854,1,3,160,0.4
20,RL,0.0,11241,Pave,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426,1004,GasA,Ex,Y,SBrkr,1004,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,TA,Y,0,0,WD,Normal,149000,11.911701584927597,578,40,40,1004,1,3,0,0.4
90,RL,72.0,10791,Pave,Reg,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,Slab,NA,NA,NA,NA,NA,0,0,GasA,TA,Y,SBrkr,1296,TA,6,Typ,0,NA,CarPort,Unf,2,516,TA,TA,Y,0,0,WD,Normal,90000,11.407564949312402,0,39,39,1296,2,4,0,0.3333333333333333
20,RL,66.0,13695,Pave,Reg,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468,1114,GasA,Ex,Y,SBrkr,1114,Gd,6,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,0,102,WD,Normal,159000,11.976659481202368,646,4,4,1114,2,4,102,0.5
20,RL,70.0,7560,Pave,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525,1029,GasA,TA,Y,SBrkr,1339,TA,6,Min1,0,NA,Attchd,Unf,1,294,TA,TA,Y,0,0,COD,Abnorml,139000,11.842229212112828,504,51,44,1339,1,4,0,0.5
60,RL,101.0,14215,Pave,IR1,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,1158,GasA,Ex,Y,SBrkr,2376,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,TA,Y,240,154,New,Partial,325300,12.692503112461443,0,1,0,2376,4,5,394,0.4444444444444444
45,RM,57.0,7449,Pave,Reg,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,637,GasA,Ex,Y,FuseF,1108,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,0,WD,Normal,139400,11.845102777308561,0,77,57,1108,1,4,205,0.5
20,RL,75.0,9742,Pave,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,1777,GasA,Ex,Y,SBrkr,1795,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,171,159,WD,Normal,230000,12.345834587905333,0,6,6,1795,2,4,330,0.42857142857142855
120,RM,44.0,4224,Pave,Reg,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,NA,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200,1040,GasA,TA,Y,SBrkr,1060,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,TA,Y,100,110,WD,Normal,129900,11.77452020265869,840,31,31,1060,1,4,210,0.5
20,RL,0.0,8246,Pave,IR1,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,NA,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204,1060,GasA,Ex,Y,SBrkr,1060,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,TA,Y,406,90,WD,Normal,154000,11.944707881395766,856,42,9,1060,1,4,496,0.5
20,RL,110.0,14230,Pave,Reg,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,1566,GasA,Ex,Y,SBrkr,1600,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,56,WD,Normal,256300,12.454103912352162,0,2,2,1600,2,4,56,0.42857142857142855
20,RL,60.0,7200,Pave,Reg,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180,900,GasA,TA,Y,SBrkr,900,Gd,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,222,32,WD,Normal,134800,11.811547477460344,720,59,10,900,1,4,254,0.6
20,RL,98.0,11478,Pave,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486,1704,GasA,Ex,Y,SBrkr,1704,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,50,WD,Normal,306000,12.631340380934517,1218,3,2,1704,2,4,50,0.42857142857142855
20,RL,47.0,16321,Pave,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207,1484,GasA,TA,Y,SBrkr,1600,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,TA,Y,288,258,WD,Normal,207500,12.24288661865289,1277,49,9,1600,1,3,546,0.3333333333333333
30,RM,60.0,6324,Pave,IR1,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,520,GasA,Fa,N,SBrkr,520,Fa,4,Typ,0,NA,Detchd,Unf,1,240,Fa,TA,Y,49,0,WD,Normal,68500,11.134589024250317,0,81,58,520,1,2,136,0.25
